Employee_ID,Age,Attrition_Target,Base_Salary,Bonus_Last_Year,Tax_Deductions,Training_Hours_Completed,KPI_Achievement_Pct,Manager_Rating,Satisfaction_Score,Work_Life_Balance,Total_Overtime_Hours,Total_Late_Days,Total_Working_Days_Attended,Total_Leave_Days,Tenure_Months,Absenteeism_Rate,Compa_Ratio,Avg_Daily_Overtime,Department_HR,Department_Marketing,Department_Operations,Department_Sales,Department_Technology,Gender_Male,Gender_Other,Attendance_Anomaly_Flag,Attendance_Status,Department,Critical_Flight_Risk
EMP00001,50,0,141307,7692,23161,18,110,5,3,3,18,1,63,1,7.687253613666228,0.0153846153846153,1.4363094875078777,0.2857142857142857,0,0,0,0,1,0,0,1,Normal,Technology,0
EMP00002,36,0,134792,12171,18254,0,81,3,3,4,22,1,63,1,100.49277266754272,0.0153846153846153,1.370088024232075,0.3492063492063492,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00003,29,1,65651,6398,12380,38,119,5,2,4,16,1,64,0,50.68988173455979,0.0,0.6673070277083206,0.25,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00004,42,1,137919,7252,7228,18,115,5,2,5,27,3,64,0,46.9119579500657,0.0,1.497069231270217,0.421875,0,0,1,0,0,0,0,1,Normal,Operations,0
EMP00005,40,0,79963,11721,14814,25,105,5,1,3,23,1,62,2,38.43626806833114,0.0307692307692307,0.826337218915344,0.3709677419354839,0,1,0,0,0,0,0,1,Normal,Marketing,0
EMP00006,44,0,95872,1555,13888,11,84,3,2,5,24,1,64,0,37.71353482260184,0.0,1.040661702450991,0.375,0,0,1,0,0,1,0,1,Normal,Operations,0
EMP00007,32,0,119198,11825,11391,21,113,5,3,4,23,0,64,0,55.97897503285151,0.0,1.2317915013227514,0.359375,0,1,0,0,0,0,0,1,Normal,Marketing,0
EMP00008,32,0,53739,8867,14429,12,77,3,4,2,33,1,62,2,66.52431011826543,0.0307692307692307,0.5537248840803709,0.532258064516129,0,0,0,1,0,0,0,-1,Anomaly,Sales,0
EMP00009,45,1,103294,4187,23790,27,110,5,2,3,21,1,62,2,101.215505913272,0.0307692307692307,1.0643379701184956,0.3387096774193548,0,0,0,1,0,0,0,1,Normal,Sales,0
EMP00010,57,1,88356,7767,5637,13,85,3,2,2,21,1,64,0,88.20630749014454,0.0,0.9130704365079364,0.328125,0,1,0,0,0,0,0,1,Normal,Marketing,0
EMP00011,45,0,41789,13380,22333,21,88,4,4,1,29,3,63,1,91.06438896189223,0.0153846153846153,0.4247626598361489,0.4603174603174603,0,0,0,0,1,1,0,1,Normal,Technology,0
EMP00012,24,0,59420,36,15096,29,102,5,3,2,20,0,64,0,90.2431011826544,0.0,0.644986214532271,0.3125,0,0,1,0,0,1,0,1,Normal,Operations,0
EMP00013,43,0,129297,12028,8587,19,117,5,5,1,23,1,63,1,54.86202365308804,0.0153846153846153,1.4034800164991426,0.365079365079365,0,0,1,0,0,0,0,1,Normal,Operations,0
EMP00014,23,0,145902,1787,6111,26,120,5,4,3,24,2,64,0,57.42444152431012,0.0,1.503369397217929,0.375,0,0,0,1,0,1,0,1,Normal,Sales,0
EMP00015,45,0,77606,6283,13367,37,119,5,3,3,23,1,61,3,91.1957950065703,0.0461538461538461,0.8423897705316632,0.3770491803278688,0,0,1,0,0,1,0,1,Normal,Operations,0
EMP00016,51,0,78640,8060,5722,33,115,5,2,2,21,1,64,0,55.7161629434954,0.0,0.8536135292968327,0.328125,0,0,1,0,0,1,0,1,Normal,Operations,0
EMP00017,59,0,84135,10919,9866,38,120,5,3,3,19,2,63,1,73.98160315374507,0.0153846153846153,0.8717207509635708,0.3015873015873015,0,0,0,0,0,1,0,1,Normal,Finance,0
