Employee_ID,Satisfaction_Score,Work_Life_Balance
EMP00001,3,3
EMP00002,3,4
EMP00003,2,4
EMP00004,2,5
EMP00005,1,3
EMP00006,2,5
EMP00007,3,4
EMP00008,4,2
EMP00009,2,3
EMP00010,2,2
EMP00011,4,1
EMP00012,3,2
EMP00013,5,1
EMP00014,4,3
EMP00015,3,3
EMP00016,2,2
EMP00017,3,3
EMP00018,1,4
EMP00019,2,5
EMP00020,2,3
EMP00021,4,3
EMP00022,3,2
EMP00023,1,2
EMP00024,3,2
EMP00025,3,3
EMP00026,3,5
EMP00027,2,1
EMP00028,3,2
EMP00029,5,2
EMP00030,1,3
EMP00031,2,2
EMP00032,2,3
EMP00033,2,1
EMP00034,3,3
EMP00035,4,1
EMP00036,5,3
EMP00037,2,1
EMP00038,3,3
EMP00039,3,3
EMP00040,3,3
EMP00041,3,3
EMP00042,2,2
EMP00043,3,1
EMP00044,3,3
EMP00045,4,3
EMP00046,4,3
EMP00047,2,3
EMP00048,1,4
EMP00049,5,3
EMP00050,3,1
EMP00051,4,3
EMP00052,1,1
EMP00053,3,3
EMP00054,3,2
EMP00055,4,1
EMP00056,1,4
EMP00057,2,3
EMP00058,3,2
EMP00059,4,1
EMP00060,5,3
EMP00061,5,4
EMP00062,5,3
EMP00063,1,5
EMP00064,1,1
EMP00065,2,3
EMP00066,3,3
EMP00067,4,3
EMP00068,4,1
EMP00069,2,3
EMP00070,3,3
EMP00071,5,3
EMP00072,3,3
EMP00073,2,3
EMP00074,3,3
EMP00075,3,2
EMP00076,3,3
EMP00077,3,3
EMP00078,1,5
EMP00079,5,1
EMP00080,3,3
EMP00081,3,2
EMP00082,5,2
EMP00083,2,3
EMP00084,2,3
EMP00085,4,1
EMP00086,2,3
EMP00087,4,4
EMP00088,2,5
EMP00089,1,2
EMP00090,3,3
EMP00091,2,3
EMP00092,4,2
EMP00093,3,3
EMP00094,5,3
EMP00095,4,1
EMP00096,2,5
EMP00097,4,4
EMP00098,3,3
EMP00099,3,3
EMP00100,4,2
EMP00101,3,3
EMP00102,3,2
EMP00103,3,4
EMP00104,2,2
EMP00105,2,2
EMP00106,3,3
EMP00107,2,2
EMP00108,1,3
EMP00109,1,3
EMP00110,3,4
EMP00111,3,3
EMP00112,4,2
EMP00113,3,2
EMP00114,3,3
EMP00115,3,3
EMP00116,3,3
EMP00117,3,1
EMP00118,5,2
EMP00119,5,2
EMP00120,4,2
EMP00121,5,2
EMP00122,3,3
EMP00123,3,2
EMP00124,4,3
EMP00125,3,3
EMP00126,4,2
EMP00127,4,3
EMP00128,5,3
EMP00129,3,3
EMP00130,4,4
EMP00131,3,2
EMP00132,3,4
EMP00133,3,3
EMP00134,4,3
EMP00135,5,4
EMP00136,2,4
EMP00137,3,3
EMP00138,3,3
EMP00139,5,3
EMP00140,3,3
EMP00141,2,1
EMP00142,3,1
EMP00143,3,4
EMP00144,1,1
EMP00145,3,2
EMP00146,5,3
EMP00147,4,1
EMP00148,1,2
EMP00149,5,3
EMP00150,3,3
EMP00151,2,3
EMP00152,1,3
EMP00153,2,3
EMP00154,4,3
EMP00155,1,3
EMP00156,2,3
EMP00157,4,4
EMP00158,3,3
EMP00159,4,2
EMP00160,4,1
EMP00161,1,3
EMP00162,4,1
EMP00163,2,3
EMP00164,3,4
EMP00165,3,3
EMP00166,2,2
EMP00167,5,3
EMP00168,3,2
EMP00169,1,3
EMP00170,5,3
EMP00171,3,2
EMP00172,3,4
EMP00173,3,2
EMP00174,4,5
EMP00175,1,1
EMP00176,2,2
EMP00177,3,2
EMP00178,1,1
EMP00179,4,3
EMP00180,3,3
EMP00181,2,3
EMP00182,1,2
EMP00183,4,3
EMP00184,4,3
EMP00185,3,3
EMP00186,3,3
EMP00187,2,3
EMP00188,3,1
EMP00189,1,3
EMP00190,3,3
EMP00191,3,3
EMP00192,5,2
EMP00193,3,2
EMP00194,4,2
EMP00195,3,2
EMP00196,5,2
EMP00197,3,4
EMP00198,3,3
EMP00199,4,3
EMP00200,1,2
EMP00201,2,4
EMP00202,1,2
EMP00203,4,3
EMP00204,1,5
EMP00205,4,3
EMP00206,3,5
EMP00207,1,3
EMP00208,3,2
EMP00209,2,2
EMP00210,3,2
EMP00211,3,1
EMP00212,3,3
EMP00213,1,2
EMP00214,3,4
EMP00215,4,2
EMP00216,4,3
EMP00217,4,5
EMP00218,2,2
EMP00219,4,3
EMP00220,3,3
EMP00221,1,2
EMP00222,4,3
EMP00223,5,2
EMP00224,3,3
EMP00225,2,3
EMP00226,2,3
EMP00227,3,3
EMP00228,4,2
EMP00229,2,3
EMP00230,4,4
EMP00231,2,4
EMP00232,4,3
EMP00233,5,3
EMP00234,3,5
EMP00235,3,2
EMP00236,4,3
EMP00237,3,2
EMP00238,3,5
EMP00239,3,3
EMP00240,2,3
EMP00241,4,1
EMP00242,2,3
EMP00243,5,3
EMP00244,2,3
EMP00245,4,2
EMP00246,2,3
EMP00247,3,1
EMP00248,3,3
EMP00249,4,2
EMP00250,3,2
EMP00251,4,2
EMP00252,3,2
EMP00253,3,1
