Employee_ID,Date,Leave_Type,Shift
EMP00004,2026-03-11,Casual,Morning
EMP00004,2026-01-30,Casual,Morning
EMP00004,2026-01-13,Sick,Morning
EMP00006,2026-02-10,Sick,Morning
EMP00009,2026-01-02,Casual,Morning
EMP00009,2026-02-24,Sick,Morning
EMP00014,2026-01-05,Sick,Morning
EMP00016,2026-02-18,Unpaid,Morning
EMP00016,2026-02-10,Unpaid,Morning
EMP00018,2026-03-09,Sick,Morning
EMP00021,2026-02-26,Sick,Morning
EMP00024,2026-03-06,Unpaid,Morning
EMP00024,2026-02-06,Sick,Morning
EMP00026,2026-01-19,Casual,Morning
EMP00026,2026-03-25,Unpaid,Morning
EMP00027,2026-01-02,Casual,Morning
EMP00027,2026-02-12,Sick,Morning
EMP00031,2026-02-04,Sick,Morning
EMP00031,2026-01-29,Casual,Morning
EMP00033,2026-03-19,Unpaid,Morning
EMP00033,2026-01-13,Sick,Morning
EMP00035,2026-03-19,Sick,Morning
EMP00036,2026-03-20,Casual,Morning
EMP00036,2026-03-16,Unpaid,Morning
EMP00036,2026-02-02,Sick,Morning
EMP00038,2026-02-11,Sick,Morning
EMP00038,2026-01-26,Sick,Morning
EMP00039,2026-03-18,Casual,Morning
EMP00039,2026-01-29,Unpaid,Morning
EMP00041,2026-01-23,Casual,Morning
EMP00041,2026-01-01,Sick,Morning
EMP00048,2026-02-06,Unpaid,Morning
EMP00048,2026-01-14,Unpaid,Morning
EMP00048,2026-01-22,Unpaid,Morning
EMP00052,2026-02-09,Sick,Morning
EMP00052,2026-02-25,Sick,Morning
EMP00062,2026-01-23,Sick,Morning
EMP00063,2026-02-19,Sick,Morning
EMP00063,2026-03-05,Unpaid,Morning
EMP00064,2026-03-06,Sick,Morning
EMP00064,2026-02-25,Casual,Morning
EMP00064,2026-01-23,Casual,Morning
EMP00068,2026-01-29,Casual,Morning
EMP00068,2026-02-05,Sick,Morning
EMP00078,2026-03-19,Casual,Morning
EMP00079,2026-01-29,Casual,Morning
EMP00079,2026-03-24,Sick,Morning
EMP00080,2026-03-12,Unpaid,Morning
EMP00080,2026-03-03,Unpaid,Morning
EMP00081,2026-01-12,Unpaid,Morning
EMP00086,2026-03-23,Casual,Morning
EMP00090,2026-03-25,Casual,Morning
EMP00091,2026-01-29,Unpaid,Morning
EMP00094,2026-02-11,Unpaid,Morning
EMP00094,2026-02-06,Unpaid,Morning
EMP00094,2026-02-09,Sick,Morning
EMP00096,2026-02-02,Unpaid,Morning
EMP00097,2026-01-19,Casual,Morning
EMP00098,2026-03-04,Sick,Morning
EMP00099,2026-02-13,Unpaid,Morning
EMP00102,2026-02-19,Unpaid,Morning
EMP00102,2026-01-05,Unpaid,Morning
EMP00104,2026-01-29,Sick,Morning
EMP00104,2026-02-23,Sick,Morning
EMP00105,2026-03-09,Sick,Morning
EMP00105,2026-01-30,Sick,Morning
EMP00108,2026-03-04,Sick,Morning
EMP00108,2026-01-30,Casual,Morning
EMP00109,2026-01-26,Casual,Morning
EMP00109,2026-03-06,Sick,Morning
EMP00109,2026-02-03,Casual,Morning
EMP00115,2026-03-17,Sick,Morning
EMP00115,2026-03-05,Unpaid,Morning
EMP00116,2026-02-18,Casual,Morning
EMP00120,2026-01-19,Casual,Morning
EMP00123,2026-03-05,Unpaid,Morning
EMP00124,2026-01-14,Unpaid,Morning
EMP00124,2026-03-13,Unpaid,Morning
EMP00128,2026-01-01,Unpaid,Morning
EMP00138,2026-03-20,Casual,Morning
EMP00138,2026-02-10,Unpaid,Morning
EMP00143,2026-02-12,Unpaid,Morning
EMP00145,2026-01-16,Sick,Morning
EMP00147,2026-01-20,Unpaid,Morning
EMP00149,2026-03-18,Casual,Morning
EMP00149,2026-01-19,Casual,Morning
EMP00154,2026-02-17,Sick,Morning
EMP00155,2026-03-10,Unpaid,Morning
EMP00155,2026-02-10,Unpaid,Morning
EMP00161,2026-01-13,Casual,Morning
EMP00161,2026-01-08,Sick,Morning
EMP00164,2026-03-30,Sick,Morning
EMP00166,2026-02-25,Unpaid,Morning
EMP00166,2026-03-16,Unpaid,Morning
EMP00170,2026-02-26,Unpaid,Morning
EMP00170,2026-03-24,Sick,Morning
EMP00170,2026-01-02,Unpaid,Morning
EMP00172,2026-03-05,Casual,Morning
EMP00175,2026-03-20,Casual,Morning
EMP00176,2026-02-26,Unpaid,Morning
EMP00178,2026-03-25,Sick,Morning
EMP00178,2026-02-11,Unpaid,Morning
EMP00179,2026-02-09,Sick,Morning
EMP00180,2026-03-13,Unpaid,Morning
EMP00183,2026-02-10,Sick,Morning
EMP00183,2026-02-13,Unpaid,Morning
EMP00183,2026-03-03,Unpaid,Morning
EMP00184,2026-01-26,Casual,Morning
EMP00184,2026-03-12,Unpaid,Morning
EMP00186,2026-01-30,Casual,Morning
EMP00186,2026-03-31,Casual,Morning
EMP00188,2026-03-13,Casual,Morning
EMP00188,2026-01-22,Casual,Morning
EMP00192,2026-02-03,Sick,Morning
EMP00193,2026-01-07,Unpaid,Morning
EMP00193,2026-03-06,Casual,Morning
EMP00196,2026-03-31,Unpaid,Morning
EMP00196,2026-01-15,Unpaid,Morning
EMP00197,2026-01-02,Casual,Morning
EMP00198,2026-02-13,Casual,Morning
EMP00198,2026-02-17,Unpaid,Morning
EMP00199,2026-03-04,Unpaid,Morning
EMP00199,2026-01-20,Unpaid,Morning
EMP00200,2026-02-23,Unpaid,Morning
EMP00200,2026-02-04,Unpaid,Morning
EMP00202,2026-02-24,Sick,Morning
EMP00202,2026-03-06,Sick,Morning
EMP00203,2026-03-26,Sick,Morning
EMP00206,2026-02-20,Sick,Morning
EMP00206,2026-02-05,Casual,Morning
EMP00206,2026-03-18,Casual,Morning
EMP00207,2026-03-04,Unpaid,Morning
EMP00210,2026-01-23,Unpaid,Morning
EMP00210,2026-03-11,Unpaid,Morning
EMP00210,2026-02-10,Casual,Morning
EMP00214,2026-01-12,Sick,Morning
EMP00214,2026-03-04,Sick,Morning
EMP00215,2026-01-05,Sick,Morning
EMP00215,2026-03-16,Casual,Morning
EMP00215,2026-02-10,Unpaid,Morning
EMP00218,2026-02-16,Unpaid,Morning
EMP00221,2026-01-14,Unpaid,Morning
EMP00224,2026-03-11,Sick,Morning
EMP00227,2026-02-05,Unpaid,Morning
EMP00232,2026-02-13,Unpaid,Morning
EMP00233,2026-03-24,Unpaid,Morning
EMP00233,2026-02-04,Unpaid,Morning
EMP00233,2026-03-11,Unpaid,Morning
EMP00234,2026-03-13,Sick,Morning
EMP00237,2026-03-12,Sick,Morning
EMP00237,2026-03-16,Unpaid,Morning
EMP00240,2026-02-17,Casual,Morning
EMP00242,2026-02-12,Sick,Morning
EMP00242,2026-01-08,Casual,Morning
EMP00242,2026-02-17,Casual,Morning
EMP00244,2026-02-13,Unpaid,Morning
EMP00245,2026-03-26,Sick,Morning
EMP00245,2026-01-19,Sick,Morning
EMP00247,2026-02-13,Unpaid,Morning
EMP00247,2026-01-27,Unpaid,Morning
EMP00248,2026-02-26,Sick,Morning
EMP00249,2026-01-21,Casual,Morning
EMP00249,2026-01-29,Unpaid,Morning
EMP00253,2026-02-04,Unpaid,Morning
EMP00253,2026-01-30,Sick,Morning
EMP00260,2026-02-26,Casual,Morning
EMP00261,2026-02-16,Unpaid,Morning
EMP00266,2026-03-19,Sick,Morning
EMP00268,2026-03-05,Sick,Morning
EMP00268,2026-02-03,Sick,Morning
EMP00271,2026-03-25,Sick,Morning
EMP00271,2026-01-28,Casual,Morning
EMP00274,2026-03-09,Sick,Morning
EMP00274,2026-02-11,Unpaid,Morning
EMP00275,2026-03-18,Unpaid,Morning
EMP00276,2026-01-19,Casual,Morning
EMP00276,2026-02-23,Sick,Morning
EMP00277,2026-01-20,Casual,Morning
EMP00279,2026-03-17,Unpaid,Morning
EMP00279,2026-03-19,Sick,Morning
EMP00279,2026-02-26,Unpaid,Morning
EMP00281,2026-02-11,Sick,Morning
EMP00281,2026-01-12,Unpaid,Morning
EMP00283,2026-01-13,Casual,Morning
EMP00283,2026-03-03,Unpaid,Morning
EMP00285,2026-02-17,Sick,Morning
EMP00286,2026-01-16,Casual,Morning
EMP00286,2026-03-11,Casual,Morning
EMP00287,2026-01-01,Casual,Morning
EMP00287,2026-03-10,Casual,Morning
EMP00292,2026-01-19,Sick,Morning
EMP00294,2026-03-12,Casual,Morning
EMP00297,2026-01-22,Unpaid,Morning
EMP00297,2026-02-26,Sick,Morning
EMP00299,2026-02-17,Unpaid,Morning
EMP00299,2026-03-03,Sick,Morning
EMP00300,2026-01-12,Sick,Morning
EMP00300,2026-01-20,Unpaid,Morning
EMP00304,2026-03-17,Unpaid,Morning
EMP00309,2026-02-27,Unpaid,Morning
EMP00309,2026-03-13,Casual,Morning
EMP00309,2026-01-29,Casual,Morning
EMP00310,2026-01-14,Sick,Morning
EMP00312,2026-01-01,Unpaid,Morning
EMP00314,2026-03-09,Casual,Morning
EMP00314,2026-02-02,Unpaid,Morning
EMP00316,2026-01-13,Unpaid,Morning
EMP00316,2026-03-27,Casual,Morning
EMP00316,2026-03-31,Unpaid,Morning
EMP00321,2026-02-03,Unpaid,Morning
EMP00321,2026-02-11,Casual,Morning
EMP00328,2026-02-04,Casual,Morning
EMP00331,2026-01-05,Casual,Morning
EMP00331,2026-01-12,Casual,Morning
EMP00332,2026-03-18,Unpaid,Morning
EMP00333,2026-03-13,Unpaid,Morning
EMP00336,2026-03-16,Unpaid,Morning
EMP00342,2026-01-28,Casual,Morning
EMP00342,2026-01-05,Unpaid,Morning
EMP00342,2026-02-10,Sick,Morning
EMP00349,2026-01-13,Casual,Morning
EMP00351,2026-01-15,Casual,Morning
EMP00356,2026-02-17,Unpaid,Morning
EMP00359,2026-02-24,Unpaid,Morning
EMP00363,2026-02-24,Casual,Morning
EMP00363,2026-03-06,Sick,Morning
EMP00363,2026-02-11,Sick,Morning
EMP00365,2026-01-01,Unpaid,Morning
EMP00365,2026-02-26,Unpaid,Morning
EMP00365,2026-01-02,Unpaid,Morning
EMP00369,2026-03-06,Unpaid,Morning
EMP00370,2026-01-08,Casual,Morning
EMP00370,2026-01-20,Casual,Morning
EMP00379,2026-02-23,Unpaid,Morning
EMP00379,2026-03-31,Casual,Morning
EMP00384,2026-01-26,Casual,Morning
EMP00384,2026-03-17,Sick,Morning
EMP00385,2026-03-17,Sick,Morning
EMP00387,2026-01-14,Sick,Morning
EMP00388,2026-03-05,Sick,Morning
EMP00388,2026-03-30,Casual,Morning
EMP00388,2026-03-10,Casual,Morning
EMP00389,2026-03-03,Casual,Morning
EMP00392,2026-01-01,Casual,Morning
EMP00394,2026-01-09,Sick,Morning
EMP00394,2026-01-23,Sick,Morning
EMP00397,2026-03-06,Unpaid,Morning
EMP00397,2026-01-15,Casual,Morning
EMP00399,2026-03-09,Sick,Morning
EMP00402,2026-02-16,Sick,Morning
EMP00405,2026-02-23,Unpaid,Morning
EMP00406,2026-03-12,Unpaid,Morning
EMP00410,2026-02-27,Sick,Morning
EMP00410,2026-02-16,Casual,Morning
EMP00414,2026-01-27,Unpaid,Morning
EMP00415,2026-02-23,Casual,Morning
