Employee_ID,Department,Attrition_Probability,Predicted_Attrition_Flag,Forecasted_KPI_Score,Predicted_Top_Performer,Attendance_Status,Critical_Flight_Risk,Performance_Level,Flight_Risk_Level,Risk_Segment,Satisfaction_Score,Work_Life_Balance,Compa_Ratio,Total_Overtime_Hours,Training_Hours_Completed,Manager_Rating
EMP00950,Technology,0.995,1,68.8,0,Anomaly,1,Low,High,"High Risk, Low Performer",2,1,0.425565652253461,30,8,1
EMP00562,HR,0.992,1,79.1,0,Anomaly,1,Medium,High,"High Risk, Medium Performer",1,4,0.7944361170218341,16,9,2
EMP01504,Operations,0.992,1,63.3,0,Anomaly,1,Low,High,"High Risk, Low Performer",2,3,0.6260013459826759,35,1,1
EMP00668,Sales,0.99,1,71.1,0,Anomaly,1,Medium,High,"High Risk, Medium Performer",1,3,0.8628954147346728,34,5,2
EMP00020,HR,0.989,1,77.0,0,Anomaly,1,Medium,High,"High Risk, Medium Performer",2,3,0.6012201129967191,24,14,3
EMP00619,Technology,0.987,1,110.9,1,Anomaly,1,High,High,"High Risk, High Performer",1,1,0.5521131914374581,20,35,5
EMP01105,Technology,0.986,1,58.6,0,Anomaly,1,Low,High,"High Risk, Low Performer",5,3,0.4980687524140594,13,3,1
EMP01213,Technology,0.986,1,84.9,1,Anomaly,1,Medium,High,"High Risk, Medium Performer",1,2,0.4670264885853103,14,19,4
EMP00546,Technology,0.984,1,97.4,1,Anomaly,1,High,High,"High Risk, High Performer",1,1,0.5346303185542071,16,27,5
EMP00997,Marketing,0.979,1,117.7,1,Anomaly,1,High,High,"High Risk, High Performer",2,2,0.6055100859788359,13,37,5
EMP00553,Finance,0.978,1,112.0,1,Anomaly,1,High,High,"High Risk, High Performer",1,2,0.9653425338803928,28,27,5
EMP01852,Technology,0.978,1,112.5,1,Anomaly,1,High,High,"High Risk, High Performer",2,1,0.5821593380903011,14,35,5
EMP01447,Sales,0.966,1,66.3,0,Anomaly,1,Low,High,"High Risk, Low Performer",2,4,0.6911179804224626,31,1,1
EMP01986,Marketing,0.96,1,63.3,0,Anomaly,1,Low,High,"High Risk, Low Performer",2,4,0.6557643022486772,14,3,1
EMP01925,Operations,0.951,1,68.8,0,Anomaly,1,Low,High,"High Risk, Low Performer",4,1,0.595933829754901,21,7,2
EMP00586,Technology,0.948,1,79.1,0,Anomaly,1,Medium,High,"High Risk, Medium Performer",1,2,0.8131772072127015,12,9,2
